time,latitude,longitude,mag,id,updated,place,type,geom,state
2014-07-12 17:34:27.6-04,35.858,-97.3253,3.1,usb000rseb,2015-01-30 15:04:28.923-05,"9km ESE of Guthrie, Oklahoma",earthquake,0101000020AD100000E25817B7D15458C0E8FBA9F1D2ED4140,Oklahoma
2014-07-12 17:11:46.7-04,35.8637,-97.321,4,usb000rsdy,2015-01-28 08:19:12.322-05,"9km E of Guthrie, Oklahoma",earthquake,0101000020AD100000068195438B5458C011C7BAB88DEE4140,Oklahoma
2014-07-12 11:27:26.4-04,35.8628,-97.3124,3.2,usb000rsc9,2014-10-10 04:02:14-04,"10km E of Guthrie, Oklahoma",earthquake,0101000020AD1000004ED1915CFE5358C0917EFB3A70EE4140,Oklahoma
2014-07-11 12:17:05.5-04,36.56,-97.8367,3.4,usb000rs01,2015-01-30 16:39:18.188-05,"18km NNE of Enid, Oklahoma",earthquake,0101000020AD1000000B24287E8C7558C048E17A14AE474240,Oklahoma
2014-07-07 14:38:21.5-04,34.0713,-97.468,3.2,usc000rr8a,2015-01-30 10:33:29.76-05,"10km SSW of Wilson, Oklahoma",earthquake,0101000020AD100000CAA145B6F35D58C0371AC05B20094140,Oklahoma
2014-07-07 07:44:13.9-04,36.6773,-98.2108,3.2,usc000rr3x,2014-10-04 15:59:58-04,"15km ESE of Cherokee, Oklahoma",earthquake,0101000020AD100000CC7F48BF7D8D58C058CA32C4B1564240,Oklahoma
2014-07-07 06:53:06.3-04,36.7575,-98.0487,3,usc000rr3u,2014-10-04 15:59:58-04,"27km E of Cherokee, Oklahoma",earthquake,0101000020AD1000002CD49AE61D8358C0295C8FC2F5604240,Oklahoma
2014-07-06 15:22:05.6-04,36.7273,-97.893,3.1,usc000rqyv,2014-10-04 15:59:57-04,"16km WSW of Medford, Oklahoma",earthquake,0101000020AD100000FDD478E9267958C0BE30992A185D4240,Oklahoma
2014-07-06 04:10:46.1-04,36.7497,-97.7497,3.3,usc000rqwr,2014-10-04 15:59:57-04,"6km SSW of Medford, Oklahoma",earthquake,0101000020AD100000EB73B515FB6F58C0D5E76A2BF65F4240,Oklahoma
2014-07-06 01:44:18.7-04,36.2157,-97.5417,3.3,usc000rqwg,2014-10-04 15:59:56-04,"24km WSW of Perry, Oklahoma",earthquake,0101000020AD100000910F7A36AB6258C0A4DFBE0E9C1B4240,Oklahoma
